permutation_index,null_diff_dev,null_diff_val
1,0.03222808480994796,0.032246963951620286
2,-0.0013685407027838022,-0.05871549231843735
3,0.0022454395392639244,-0.25287974230927884
4,-0.0663671403869098,0.11534015288212839
5,0.02902590721940172,0.036224821873886565
6,-0.10999508019353967,0.22857400422529534
7,0.11451560035814035,0.1463648739018282
8,0.042934520772614324,0.061228160871741676
9,0.050910966341701766,-0.15363379362442667
10,0.06630127779529046,-0.13861279715957162
11,-0.03206312134556981,0.06563474407714982
12,-0.08253952181372591,-0.12589760509672027
13,0.05556398770492925,-0.02487316519088035
14,-0.019065899730902086,-0.00924661923892271
15,-0.06897705784180289,-0.09240962728120888
16,-0.09638882641796227,0.016053864469758684
17,-0.0033273111233174456,-0.03263659500758497
18,-0.004596750587863486,-0.04683352232042912
19,0.016507910336992872,-0.011394721896842328
20,0.010035335967762227,0.026324428116624058
21,0.07301012156247876,0.13017465998914532
22,0.05298543187221323,0.033508108031724756
23,-0.032930066047198094,-0.08119636716548234
24,0.07276581669205429,0.011555490347453895
25,0.04218773438650437,0.02210485722686025
26,-0.01331981203352966,-0.01370659551127362
27,0.0633926994475027,0.0016659329634395289
28,-0.032820681467781804,0.0037109585148726943
29,-0.0840301643822921,-0.0696859617963723
30,0.05419353576824188,0.013782406901456762
31,-0.018721917814779374,0.006209971543824498
32,-0.06475985982020614,-0.05869584977063734
33,-0.007003488962614662,-0.018829860889375532
34,0.027450649585268577,-0.028415630374847557
35,0.04940317300196223,0.05205742556167092
36,0.024649488113247,-0.12440487365938864
37,-0.04965466594318275,-0.026681159703088632
38,-0.037806454534546424,0.10482136486259312
39,-0.0005371618673985501,0.11304127767100551
40,-0.0020482986410481022,0.02360934595923885
41,0.05522506135755412,0.13134105531530724
42,-0.007338108252492183,0.13907284366110315
43,0.010469230310021208,-0.09528295311038795
44,-0.04131209773600086,0.031095708691927505
45,0.07402229310004613,-0.0690817847432266
46,-0.03678127383841449,0.1147156988146076
47,-0.0003140443620789119,0.059866296893691
48,0.05699526635275607,0.09197135776398468
49,0.004340680896073363,0.00013134216144297266
50,-0.027628368271267474,0.00036163441013950656
51,-0.008318712915802443,0.1343094406969464
52,-0.03379893285126172,-0.0932916196816993
53,0.07286710848577266,-0.18081586892214496
54,-0.003690808958528503,0.011621605670168548
55,-0.059530252700922215,0.06851358808153209
56,-0.018185231128201904,0.13732890602296396
57,-0.06823113849215359,-0.0376857238560187
58,0.03654000058349244,0.07622263764353863
59,0.11014666831173231,0.07443409886008433
60,0.019602929218507332,-0.03559855771147808
61,-0.016269210657602767,0.1338214787955486
62,-0.033753669082600704,-0.0158794289425091
63,-0.05108587664559062,-0.059426732792653265
64,0.03305029468496112,-0.14341634544172288
65,0.01093813979312908,-0.0874333532495506
66,0.0519917487855419,-0.06385121713950231
67,0.005110314880515057,0.009404782529013162
68,0.015531533089381164,-0.08654565706357305
69,-0.10138038613929107,0.06712454180752989
70,0.026735890032546856,0.007859011275999186
71,0.007430269420932894,0.03621979554483162
72,0.03727541380419392,0.06204932022307004
73,-0.024086318819179872,0.027242124058981805
74,0.047535249592814056,-0.06400825677772402
75,0.08855545987098948,-0.12894465376512257
76,-0.03152289472307885,0.06434082741820948
77,0.0007824100087580821,0.018584922237368223
78,-0.007451016881083799,-0.025731393272091018
79,-0.029511603250392284,-0.0732710304227241
80,0.048425586667481736,-0.08095650178998184
81,-0.03683856327332616,-0.005130016276208579
82,0.13485435713177443,-0.04627857580039755
83,0.08884052138014992,0.06988774626484807
84,0.007234273108272481,-0.04218323857449432
85,0.05811220631900953,0.2069242159004333
86,0.02097780796529314,0.08040646313644421
